"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"1",1993,1106568.95525166,715093.700569971,2012100.44247809,13.9208024367361,0.266799607430517,"24","cod",1106.56895525166,715.093700569971,2012.10044247809
"2",1994,1307569.44748583,845455.740243434,2357883.84446809,14.1011651597473,0.256717137558593,"24","cod",1307.56944748583,845.455740243434,2357.88384446809
"3",1995,2277796.12078897,1494888.29738718,3701057.77383488,14.6548286259767,0.261753211581265,"24","cod",2277.79612078897,1494.88829738718,3701.05777383488
"4",1996,1029507.78946712,617464.086618243,1779766.21105077,13.8610444534855,0.279777928347485,"24","cod",1029.50778946712,617.464086618243,1779.76621105077
"5",1997,776065.79303061,578794.081785998,1331057.73116116,13.5883981430917,0.218085023195422,"24","cod",776.06579303061,578.794081785998,1331.05773116116
"6",1998,1232586.08245236,856030.043556091,1908599.25336836,14.0191489321293,0.209057829263422,"24","cod",1232.58608245236,856.030043556091,1908.59925336836
"7",1999,804791.710663566,627255.713373013,1125174.36567133,13.6136033681416,0.162609660525416,"24","cod",804.791710663566,627.255713373013,1125.17436567133
"8",2000,940930.865320169,660297.934739718,1396822.95247366,13.7459576584294,0.164652748589208,"24","cod",940.930865320169,660.297934739718,1396.82295247366
"9",2001,1249103.34042434,1002151.16590269,1654754.32076845,14.0532291952752,0.144113170566531,"24","cod",1249.10334042434,1002.15116590269,1654.75432076845
"10",2002,1677863.69325004,1237700.57255953,2351547.64073913,14.3402782200572,0.158495607780325,"24","cod",1677.86369325004,1237.70057255953,2351.54764073913
"11",2003,639462.610196854,483262.838878722,957547.543849014,13.3775010707757,0.185830075867319,"24","cod",639.462610196854,483.262838878722,957.547543849014
"12",2004,1152105.77818392,832627.699813979,1574930.88185198,13.955669852099,0.176312443581737,"24","cod",1152.10577818392,832.627699813979,1574.93088185198
"13",2005,1504559.65798958,1098281.29612879,2021657.2413737,14.2181060665996,0.164969590799064,"24","cod",1504.55965798958,1098.28129612879,2021.6572413737
"14",2006,950215.751642067,661341.370637854,1351709.32001504,13.779785434761,0.187648152129175,"24","cod",950.215751642067,661.341370637854,1351.70932001504
"15",2007,990864.95068719,748113.096815103,1310156.40033671,13.7856331139781,0.15419354077693,"24","cod",990.86495068719,748.113096815103,1310.15640033671
"16",2008,903214.450249409,647680.353895155,1224519.3370029,13.7134465947001,0.161560279824365,"24","cod",903.214450249409,647.680353895155,1224.5193370029
"17",2009,1164897.01996434,949808.607240969,1596363.4714795,13.9858342954185,0.146180196717526,"24","cod",1164.89701996434,949.808607240969,1596.3634714795
"18",2010,1496369.5480985,1030112.87145859,2258962.40176584,14.2227090350458,0.206379038772478,"24","cod",1496.3695480985,1030.11287145859,2258.96240176584
"19",2011,1094946.58324185,828935.659915188,1447381.24799832,13.9122617481461,0.149887812600712,"24","cod",1094.94658324185,828.935659915188,1447.38124799832
"20",2012,870295.847664925,703534.643019085,1245727.07222353,13.7129743703153,0.166536183306583,"24","cod",870.295847664925,703.534643019085,1245.72707222353
"21",2013,1161938.48462548,902686.845224575,1652810.54160096,13.9717914592862,0.161018836589919,"24","cod",1161.93848462548,902.686845224575,1652.81054160096
"22",2014,855359.834247677,699813.602574467,1228387.68194097,13.6711127999735,0.153461306301965,"24","cod",855.359834247677,699.813602574467,1228.38768194097
"23",2015,1336096.91145949,1058682.55626305,1905814.85823612,14.118513001709,0.143222079129948,"24","cod",1336.09691145949,1058.68255626305,1905.81485823612
"24",2016,942512.983510998,707184.477803146,1266504.74674996,13.7630044692365,0.149236291792577,"24","cod",942.512983510998,707.184477803146,1266.50474674996
"25",2017,1181706.50216118,903230.91663882,1669291.56857601,13.9964782766766,0.168994048456885,"24","cod",1181.70650216118,903.23091663882,1669.29156857601
"26",2018,741342.250541366,544710.840103172,1027061.45763465,13.5290119614663,0.176663923991282,"24","cod",741.342250541366,544.710840103172,1027.06145763465
"27",2019,807944.253800834,343357.76602872,1829195.12311712,13.5811602727619,0.449162983842688,"24","cod",807.944253800834,343.35776602872,1829.19512311712
"28",1993,3316513.92660355,1814586.05180616,6971770.12740621,15.0382100540094,0.369094444153045,"25","cod",3316.51392660355,1814.58605180616,6971.77012740621
"29",1994,4138843.76952351,2375727.14369482,8404417.75715692,15.2595044490676,0.364758557199619,"25","cod",4138.84376952351,2375.72714369482,8404.41775715692
"30",1995,4562342.80835252,2673298.2432971,8691872.09408823,15.3464140296017,0.370591122078709,"25","cod",4562.34280835252,2673.2982432971,8691.87209408823
"31",1996,2448748.81859563,1367769.81351019,4685534.31289307,14.7231368441516,0.313771108276782,"25","cod",2448.74881859563,1367.76981351019,4685.53431289307
"32",1997,950136.195281577,444967.984409104,1805052.94086299,13.7709974781773,0.374851806700948,"25","cod",950.136195281577,444.967984409104,1805.05294086299
"33",1998,1312066.75938366,793174.809228338,3232975.5557459,14.1229076906045,0.368258662336038,"25","cod",1312.06675938366,793.174809228338,3232.9755557459
"34",1999,1207009.94297053,763682.903991563,2424484.10687739,14.0335993151989,0.302713077401237,"25","cod",1207.00994297053,763.682903991563,2424.48410687739
"35",2000,1304588.20329383,786916.122949053,2029745.85360738,14.0614417876412,0.253437118736883,"25","cod",1304.58820329383,786.916122949053,2029.74585360738
"36",2001,1954238.56937786,1366091.41502013,3575780.77370836,14.5275760622922,0.252841582047214,"25","cod",1954.23856937786,1366.09141502013,3575.78077370836
"37",2002,4935905.2672743,3651480.21459722,7475771.63577523,15.4242365875618,0.205789949014241,"25","cod",4935.9052672743,3651.48021459722,7475.77163577523
"38",2003,1847733.19249792,1264596.58637774,2823928.64271908,14.4249822975422,0.190542468818152,"25","cod",1847.73319249792,1264.59658637774,2823.92864271908
"39",2004,2977984.8549607,1934447.24653425,4480818.27618885,14.9030401038029,0.234901296646492,"25","cod",2977.9848549607,1934.44724653425,4480.81827618885
"40",2005,4150197.09265639,2846124.85829547,7329521.65311955,15.240753815641,0.244416307536773,"25","cod",4150.19709265639,2846.12485829547,7329.52165311955
"41",2006,3609327.71685969,2722350.54845864,4833857.44306081,15.1028546063416,0.159989481555784,"25","cod",3609.32771685969,2722.35054845864,4833.85744306081
"42",2007,5656495.18909842,4380508.31867757,7633100.95571505,15.5473518954028,0.154865964519868,"25","cod",5656.49518909842,4380.50831867757,7633.10095571505
"43",2008,6088866.02328306,4407790.76675928,8672142.72763691,15.6260197429746,0.166684336711858,"25","cod",6088.86602328306,4407.79076675928,8672.14272763691
"44",2009,6359593.07914646,5032098.38305251,9132513.70152244,15.6771460233871,0.166170489499302,"25","cod",6359.59307914646,5032.09838305251,9132.51370152244
"45",2010,6769150.79847022,5649408.84189542,9026386.61850989,15.751855712875,0.140071239247886,"25","cod",6769.15079847022,5649.40884189542,9026.38661850989
"46",2011,4688530.5123141,3630701.93620651,6666986.40028126,15.3761176661219,0.161802644572249,"25","cod",4688.5305123141,3630.70193620651,6666.98640028126
"47",2012,3272787.1570602,2038270.4469563,5684546.78787837,15.0271959559793,0.243957510042947,"25","cod",3272.7871570602,2038.2704469563,5684.54678787837
"48",2013,4117740.91396499,3178295.47810014,6223528.54492282,15.2594069006442,0.16550188870044,"25","cod",4117.74091396499,3178.29547810014,6223.52854492282
"49",2014,4333927.80530518,3328649.65795334,5810462.93221711,15.2859546683868,0.14797857816078,"25","cod",4333.92780530518,3328.64965795334,5810.46293221711
"50",2015,4662063.26570012,3866084.44085533,6157517.21185908,15.3738405903641,0.123259109106241,"25","cod",4662.06326570012,3866.08444085533,6157.51721185908
"51",2016,2010319.59102904,1627726.452217,2468010.91962357,14.5092961329978,0.121090234127491,"25","cod",2010.31959102904,1627.726452217,2468.01091962357
"52",2017,1920549.55227187,1497658.78009923,2706409.06565231,14.4709441667742,0.155779138426247,"25","cod",1920.54955227187,1497.65878009923,2706.40906565231
"53",2018,805968.937674462,638120.254598905,1104087.89463101,13.5972284505861,0.145186057872902,"25","cod",805.968937674462,638.120254598904,1104.08789463101
"54",2019,856205.304934788,589944.059337083,1223337.01394242,13.6715329899503,0.196435040916911,"25","cod",856.205304934788,589.944059337083,1223.33701394242
"55",1993,1545254.03362756,459026.395351756,4369545.36514941,14.2217030531064,0.569970982068795,"26","cod",1545.25403362756,459.026395351756,4369.54536514941
"56",1994,1819317.41288164,741498.606697763,5406500.049836,14.4190276867781,0.571783225155208,"26","cod",1819.31741288164,741.498606697763,5406.500049836
"57",1995,3355300.47113587,1314452.16856442,12572606.5580889,15.0839570918989,0.560803191730336,"26","cod",3355.30047113587,1314.45216856442,12572.6065580889
"58",1996,1760481.70030486,768135.950671031,5457095.90379065,14.456566016291,0.551350613155771,"26","cod",1760.48170030486,768.135950671031,5457.09590379065
"59",1997,889494.27966552,352685.784173861,2133019.75258715,13.7028836596859,0.463771468892209,"26","cod",889.49427966552,352.685784173861,2133.01975258715
"60",1998,998717.636286816,408668.036012818,2796719.87906309,13.8338450304781,0.520239933548127,"26","cod",998.717636286815,408.668036012818,2796.71987906309
"61",1999,1050427.33839887,372041.710188346,3198861.64773979,13.8659793404758,0.514713883135091,"26","cod",1050.42733839887,372.041710188346,3198.86164773979
"62",2000,1748785.90043285,916250.700292033,3808333.26513486,14.391344717447,0.399472597162315,"26","cod",1748.78590043285,916.250700292033,3808.33326513486
"63",2001,2037349.70095648,1023363.46418556,4105805.36201731,14.5384943776268,0.386613653810722,"26","cod",2037.34970095648,1023.36346418556,4105.80536201731
"64",2002,3557161.24128419,2284912.5623229,6349694.02573256,15.1278096915584,0.281546198871789,"26","cod",3557.16124128419,2284.9125623229,6349.69402573256
"65",2003,946418.107786108,529787.463488749,2224036.63332151,13.7981813009916,0.426385937614579,"26","cod",946.418107786108,529.787463488749,2224.03663332151
"66",2004,1541912.63395177,734200.079678601,3620993.68180904,14.255688858568,0.44069352782619,"26","cod",1541.91263395177,734.200079678601,3620.99368180904
"67",2005,2479651.61594502,1705854.10145037,3532145.69717388,14.7137410351684,0.217043799409124,"26","cod",2479.65161594502,1705.85410145037,3532.14569717388
"68",2006,1574316.83946209,1194013.92314422,2177830.08021349,14.2844141459941,0.16445889668754,"26","cod",1574.31683946209,1194.01392314422,2177.83008021349
"69",2007,2398985.51570491,1808429.7384785,3144288.6913422,14.6859642448107,0.139408899442658,"26","cod",2398.98551570491,1808.4297384785,3144.28869134219
"70",2008,3266590.963995,2426306.93921475,4389746.96314574,14.9970305526479,0.161398019779843,"26","cod",3266.590963995,2426.30693921475,4389.74696314574
"71",2009,2295141.1212555,1726969.94108528,3751225.95213144,14.6736582779201,0.216623331363791,"26","cod",2295.1411212555,1726.96994108528,3751.22595213144
"72",2010,4739032.29884957,3847981.28965254,6649234.2618707,15.3914416988806,0.132851171376713,"26","cod",4739.03229884957,3847.98128965254,6649.2342618707
"73",2011,1468402.86406116,1063663.43499173,2024784.80627746,14.2121831929135,0.176215275860691,"26","cod",1468.40286406116,1063.66343499173,2024.78480627746
"74",2012,1229894.63690346,847353.229235479,1880635.55214962,14.0085241342645,0.217932323539437,"26","cod",1229.89463690346,847.353229235479,1880.63555214962
"75",2013,1183655.94194368,830114.22252722,1906826.00399757,14.023614489912,0.215588071748557,"26","cod",1183.65594194368,830.11422252722,1906.82600399757
"76",2014,1687136.76853368,1148642.75852147,2400618.00464171,14.3317748809822,0.198261313390358,"26","cod",1687.13676853368,1148.64275852147,2400.61800464171
"77",2015,1717264.11196699,1274040.61475485,2788426.65084368,14.4096337915899,0.207088441941283,"26","cod",1717.26411196699,1274.04061475485,2788.42665084368
"78",2016,1341458.73587172,1015062.54914597,1928194.81094626,14.1259855998832,0.161004419183748,"26","cod",1341.45873587172,1015.06254914597,1928.19481094626
