"","term","estimate","std.error","conf.low","conf.high","group","scale","term2"
"1","sigma_O",0.0373325220542178,NA,0.0308583298733039,0.045165023792632,"Random","Spatial/spatiotemporal s.d.",2
"2","sigma_E",0.0531328763874921,NA,0.0503792543995989,0.0560370054470475,"Random","Spatial/spatiotemporal s.d.",2
"3","biomass_her_sc",0.000909738346761379,0.00123605033863711,-0.00151287580004589,0.00333235249356865,"Herring","Rectangle",1
"4","biomass_her_sd_sc",-0.00100926946915682,0.00253511272395164,-0.00597799910485127,0.00395946016653763,"Herring","Sub-division",1
"5","biomass_spr_sc",-0.0027772665547438,0.00156130551297486,-0.00583736912903836,0.000282836019550757,"Sprat","Rectangle",1
"6","biomass_spr_sd_sc",0.00711179995201725,0.00272249275674716,0.00177581220062165,0.0124477877034128,"Sprat","Sub-division",1
"7","density_cod_sc",-0.00289291092421247,0.0019666181505125,-0.00674741167055973,0.000961589822134791,"Cod","Haul",1
"8","density_cod_rec_sc",-0.000758750943027716,0.00218839611396674,-0.00504792851030994,0.00353042662425451,"Cod","Rectangle",1
"9","density_fle_sc",0.000974887436273347,0.00126152442437006,-0.0014976550011096,0.00344742987365629,"Flounder","Haul",1
"10","density_fle_rec_sc",-0.000942246026060555,0.0016850750844241,-0.00424493250277759,0.00236044045065648,"Flounder","Rectangle",1
"11","density_saduria_sc",0.00245836618272266,0.001296981567948,-8.36709790677068e-05,0.00500040334451303,"Saduria","Haul",1
"12","density_saduria_rec_sc",0.00244679449503298,0.00234680224878972,-0.00215285339143248,0.00704644238149844,"Saduria","Rectangle",1
"13","depth_sc",-0.0234633452964514,0.00208272671266917,-0.0275454146429224,-0.0193812759499803,"Depth","Haul",1
"14","depth_rec_sc",0.0117136901850036,0.00378370097524594,0.00429777254525248,0.0191296078247547,"Depth","Rectangle",1
"15","oxy_sc",0.00340314191181761,0.00182871528599113,-0.000181074186702869,0.0069873580103381,"Oxygen","Haul",1
"16","oxy_rec_sc",0.009168277096094,0.00361428449603145,0.00208440965399085,0.0162521445381971,"Oxygen","Rectangle",1
"17","temp_sc",0.00857043302393121,0.00253784159086454,0.00359635490736888,0.0135445111404935,"Temp","Haul",1
"18","temp_rec_sc",0.00143893980342921,0.00283186755042369,-0.00411141860438888,0.0069892982112473,"Temp","Rectangle",1
