"","term","estimate","std.error","conf.low","conf.high","group","scale","term2"
"1","sigma_E",0.0661735968353822,NA,0.0626661940674534,0.0698773075865792,"Random","Spatial/spatiotemporal s.d.",2
"2","biomass_her_sc",0.00047441884307994,0.00121356243050189,-0.00190411981369466,0.00285295749985454,"Herring","Rectangle",1
"3","biomass_her_sd_sc",-0.00587603358530292,0.00201877407830465,-0.00983275807170307,-0.00191930909890277,"Herring","Subdivision",1
"4","biomass_spr_sc",-0.00379140559652366,0.00138036918628929,-0.00649687948701953,-0.0010859317060278,"Sprat","Rectangle",1
"5","biomass_spr_sd_sc",0.00919857227144603,0.00252263700054405,0.00425429460431154,0.0141428499385805,"Sprat","Subdivision",1
"6","density_cod_sc",-0.0025382372643181,0.00117863159902593,-0.00484831274944979,-0.000228161779186417,"Cod","Haul",1
"7","density_cod_rec_sc",-0.00169017937028241,0.00181336299797637,-0.00524430553721367,0.00186394679664886,"Cod","Rectangle",1
"8","density_fle_sc",0.00118830967733094,0.00102714152986858,-0.000824850728236846,0.00320147008289872,"Flounder","Haul",1
"9","density_fle_rec_sc",-0.001095043929571,0.00138099819313325,-0.00380175065082705,0.00161166279168506,"Flounder","Rectangle",1
"10","density_saduria_sc",-0.00155929666643267,0.00104132448551496,-0.00360025515426169,0.000481661821396357,"Saduria","Haul",1
"11","density_saduria_rec_sc",0.00883066766793149,0.00195965094688149,0.00498982238977396,0.012671512946089,"Saduria","Rectangle",1
"12","depth_sc",-0.0220263402865454,0.00152924499719332,-0.0250236054045824,-0.0190290751685085,"Depth","Haul",1
"13","depth_rec_sc",0.00590974865859726,0.00296196384554255,0.000104406197824109,0.0117150911193704,"Depth","Rectangle",1
"14","oxy_sc",0.00614506811754532,0.00144504831554757,0.0033128254631518,0.00897731077193883,"Oxygen","Haul",1
"15","oxy_rec_sc",0.00248647983281495,0.00234600992746058,-0.00211161513238122,0.00708457479801111,"Oxygen","Rectangle",1
"16","temp_sc",0.00817160767453183,0.00193225164234539,0.0043844640464665,0.0119587513025972,"Temp","Haul",1
"17","temp_rec_sc",0.00829158494515453,0.00222243030003782,0.00393570159892987,0.0126474682913792,"Temp","Rectangle",1
